Year,Food,F&V,Fats&Oils,Seafood,Dairy,Sugar,Meats
1970,39.2,37.8,39.2,31.3,44.7,30.5,43.8
1971,40.4,39.7,42.7,34.5,46.1,31.6,43.5
1972,42.1,41.6,43.1,37.6,46.8,32.1,48.1
1973,48.2,47.4,46.8,43.1,51.2,34.0,60.0
1974,55.1,55.2,66.4,49.7,60.7,51.8,61.1
1975,59.8,56.9,73.5,53.9,62.6,65.3,66.3
1976,61.6,58.4,64.3,60.2,67.7,57.9,66.4
1977,65.5,63.8,70.8,66.7,69.5,60.8,64.9
1978,72.0,70.9,77.6,73.0,74.2,68.3,77.0
1979,79.9,76.6,83.7,80.1,82.8,73.6,90.1
1980,86.8,82.1,89.3,87.5,90.9,90.5,92.7
1981,93.6,92.0,98.8,94.8,97.4,97.7,96.0
1982,97.4,97.0,96.1,98.2,98.8,97.5,100.7
1983,99.4,97.3,97.4,99.3,100.0,99.3,99.5
1984,103.2,105.7,106.6,102.5,101.3,103.2,99.8
1985,105.6,108.4,108.9,107.5,103.2,105.8,98.9
1986,109.0,109.4,106.5,117.4,103.3,109.0,102.0
1987,113.5,119.1,108.1,129.9,105.9,111.0,109.6
1988,118.2,128.1,113.1,137.4,108.4,114.0,112.2
1989,125.1,138.0,121.2,143.6,115.6,119.4,116.7
1990,132.4,149.0,126.3,146.7,126.5,124.7,128.5
1991,136.3,155.8,131.7,148.3,125.1,129.3,132.5
1992,137.9,155.4,129.8,151.7,128.5,133.1,130.7
1993,140.9,159.0,130.0,156.6,129.4,133.4,134.6
1994,144.3,165.0,133.5,163.7,131.7,135.2,135.4
1995,148.4,177.7,137.3,171.6,132.8,137.5,135.5
1996,153.3,183.9,140.5,173.1,142.1,143.7,140.2
1997,157.3,187.5,141.7,177.1,145.5,147.8,144.4
1998,160.7,198.2,146.9,181.7,150.8,150.2,141.6
1999,164.1,203.1,148.3,185.3,159.6,152.3,142.3
2000,167.8,204.6,147.4,190.4,160.7,154.0,150.7
2001,173.1,212.2,155.7,191.1,167.1,155.7,159.3
2002,176.2,220.9,155.4,188.1,168.1,159.0,160.3
2003,180.0,225.9,157.4,190.0,167.9,162.0,169.0
2004,186.2,232.7,167.8,194.3,180.2,163.2,183.2
2005,190.7,241.4,167.7,200.1,182.4,165.2,187.5
2006,195.2,252.9,168.0,209.5,181.4,171.5,188.8
2007,202.916,262.628,172.921,219.087,194.770,176.772,194.983
2008,214.106,278.932,196.751,232.122,210.396,186.577,201.815
2009,217.955,272.945,201.224,240.556,197.013,196.933,200.545
2010,219.625,273.458,200.587,243.229,199.245,201.242,206.232
2011,227.842,284.662,219.163,260.493,212.745,207.832,224.439
2012,233.777,282.827,232.579,266.652,217.270,214.670,231.981
2013,237.037,290.033,229.316,273.256,217.554,210.992,234.778
2014,242.725,294.398,229.658,289.007,225.310,209.317,256.469
2015,247.235,293.840,227.293,286.308,222.418,216.118,264.232
2016,247.931,296.277,225.947,284.233,217.306,215.329,252.521
2017,250.065,295.684,227.715,287.676,217.455,215.068,251.048
2018,253.558,297.793,228.035,293.767,216.462,215.850,252.076
2019,258.316,300.854,226.419,298.493,218.693,220.246,255.341
2020,267.219,304.929,229.455,308.232,228.322,227.591,274.178
2021,277.756,314.809,240.055,324.857,231.422,234.359,295.191
2022,305.388,341.671,284.530,354.576,259.184,258.765,319.398
2023,322.965,350.175,310.076,355.683,269.528,281.176,326.000
2024,330.263,352.796,317.546,349.067,268.876,289.636,335.289
